path	before	after	reason	incoming
node_modules/@anthropic-ai/sdk	0.82.0	0.91.1	Approved targeted security update	root dependencies 0.91.1
node_modules/@sveltejs/kit	2.70.1	2.70.3	Approved targeted security update	root devDependencies 2.70.3; node_modules/@sveltejs/adapter-vercel peerDependencies ^2.4.0; node_modules/better-auth peerDependencies ^2.0.0; node_modules/convex-svelte/node_modules/runed peerDependencies ^2.21.0; node_modules/runed peerDependencies ^2.21.0
node_modules/@tiptap/core	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4; node_modules/@tiptap/extension-blockquote peerDependencies 3.30.4; node_modules/@tiptap/extension-bold peerDependencies 3.30.4; node_modules/@tiptap/extension-bubble-menu peerDependencies 3.30.4; node_modules/@tiptap/extension-code peerDependencies 3.30.4; node_modules/@tiptap/extension-code-block peerDependencies 3.30.4; node_modules/@tiptap/extension-document peerDependencies 3.30.4; node_modules/@tiptap/extension-floating-menu peerDependencies 3.30.4; node_modules/@tiptap/extension-hard-break peerDependencies 3.30.4; node_modules/@tiptap/extension-heading peerDependencies 3.30.4; node_modules/@tiptap/extension-highlight peerDependencies 3.30.4; node_modules/@tiptap/extension-horizontal-rule peerDependencies 3.30.4; node_modules/@tiptap/extension-italic peerDependencies 3.30.4; node_modules/@tiptap/extension-link peerDependencies 3.30.4; node_modules/@tiptap/extension-list peerDependencies 3.30.4; node_modules/@tiptap/extension-paragraph peerDependencies 3.30.4; node_modules/@tiptap/extension-strike peerDependencies 3.30.4; node_modules/@tiptap/extension-text peerDependencies 3.30.4; node_modules/@tiptap/extension-underline peerDependencies 3.30.4; node_modules/@tiptap/extensions peerDependencies 3.30.4; node_modules/@tiptap/starter-kit dependencies 3.30.4; node_modules/svelte-tiptap peerDependencies ^3.0.0
node_modules/@tiptap/extension-blockquote	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-bold	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-bubble-menu	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4; node_modules/svelte-tiptap peerDependencies ^3.0.0
node_modules/@tiptap/extension-bullet-list	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-character-count	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4
node_modules/@tiptap/extension-code	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-code-block	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4; node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-document	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-dropcursor	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-floating-menu	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4; node_modules/svelte-tiptap peerDependencies ^3.0.0
node_modules/@tiptap/extension-gapcursor	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-hard-break	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-heading	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-highlight	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4
node_modules/@tiptap/extension-horizontal-rule	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4; node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-italic	3.28.0	3.30.4	Approved full editor graph alignment	node_modules/@tiptap/starter-kit dependencies 3.30.4
node_modules/@tiptap/extension-link	3.28.0	3.30.4	Approved full editor graph alignment	root dependencies 3.30.4; node_modules/@tiptap/starter-kit dependencies 3.30.4
